AssayName,dR_um,speed_umPerMin,angularDeviation,positiveFTLE_percent,edgeLength_mm,edgeVariability_mm,corr_dr100um,timeScale_h,lengthScale_um
2019-08-14_WellA1,144.6202044,0.220516002,0.779480208,3.335167233,1.206235882,0.106924681,0.655982441,5.020350668,19.90556809
2019-08-14_WellA2,188.9091078,0.250625391,0.616021098,4.733067067,1.07188774,0.08153612,0.756275606,7.631797254,24.31178004
2019-08-14_WellA3,116.8471365,0.264823562,1.29274161,33.29600165,2.054678025,0.367096295,0.069275718,2.927964734,39.46493406
2019-08-14_WellA4,125.1079397,0.200765964,1.235978523,27.06530936,1.82601883,0.400657123,0.164219427,3.433933247,37.10816671
2019-08-14_WellB4,83.54933036,0.17657651,1.246148571,16.23323516,1.787168393,0.281821455,0.122141941,3.805885397,32.97277513
2019-08-14_WellB3,79.96070028,0.256350858,1.347975329,26.52990151,2.128374482,0.536681297,0.029654004,4.818592043,30.28044931
2019-08-14_WellB2,167.6991652,0.225777276,0.544401643,2.230731485,1.069479041,0.082184428,0.775295812,5.691716934,25.58150632
2019-08-14_WellB1,81.69498372,0.199791029,0.801167185,3.559258042,1.217691301,0.187037764,0.542001786,8.426094746,24.32925792
2019-08-15_WellA1,178.0081602,0.220772382,0.689838504,3.46350251,1.117319719,0.113779416,0.738693739,4.31781106,25.74529264
2019-08-15_WellA2,210.9804398,0.25898283,0.591694585,5.269653545,1.245775832,0.134543556,0.781664644,6.101576145,24.2531022
2019-08-15_WellA3,98.38567656,0.25507064,1.295531725,29.08807625,1.992714702,0.43924181,0.083125251,3.087972833,37.38560987
2019-08-15_WellA4,105.3082798,0.228058279,1.290970716,27.05593215,2.096606161,0.418627712,0.090765319,3.905713764,37.86271286
2019-08-15_WellB4,50.56365395,0.176813625,1.284107762,18.97767085,1.802911199,0.28862602,0.082765843,4.487552813,34.89059007
2019-08-15_WellB3,104.6936522,0.171791535,1.295755961,14.67055893,1.789420589,0.321055782,0.078058368,3.445951762,32.61858804
2019-08-15_WellB2,124.617812,0.195330575,0.671352698,2.651744472,1.122800513,0.089991373,0.727274865,5.188804652,25.73277945
2019-08-15_WellB1,128.8461896,0.207277015,0.72849571,3.608057579,1.258745613,0.12808609,0.648129929,5.021292317,23.14658031
2019-08-27_WellA1,113.3454726,0.214127262,0.828410004,5.690959466,1.362890601,0.164944486,0.616774913,3.787118858,27.43327575
2019-08-27_WellA2,156.3913302,0.213660305,0.746174169,4.243111423,1.192449568,0.128686032,0.692877082,3.737647458,26.55097081
2019-08-27_WellB4,88.63717144,0.170195973,1.205362373,18.29418343,1.805316815,0.280902619,0.15706652,4.803799249,36.04707739
2019-08-27_WellB3,96.90086956,0.173410443,1.235604135,13.54513066,1.880777064,0.29733872,0.106178467,3.846301259,33.11570271
2019-08-27_WellB2,161.8861562,0.194708103,0.714529375,3.63803057,1.252702446,0.102547523,0.634172095,3.730391803,26.31477468
2019-08-27_WellB1,105.4436388,0.198827367,0.896199383,5.417716596,1.441104592,0.188422644,0.439129844,5.083381631,26.11608876
2019-09-03_WellA1,119.1766129,0.223009474,0.845649714,4.037314348,1.204531709,0.11553116,0.616938474,4.102520469,21.71216649
2019-09-03_WellA2,159.781795,0.256428758,0.641596909,5.558653338,1.24765803,0.102287042,0.699109571,4.139569729,23.15474378
2019-09-03_WellA4,125.5897558,0.238559747,1.232211361,30.48799025,2.036938059,0.425999284,0.129803165,4.007988197,37.11354584
2019-09-03_WellB4,82.42568946,0.21888811,1.266313246,25.7603492,2.047068353,0.475741422,0.09900154,3.512265275,33.91372637
2019-09-03_WellB3,82.15370748,0.184717663,1.288906126,18.21641145,1.975467018,0.389033527,0.076157671,3.54368623,36.64641976
2019-09-03_WellB2,174.5959497,0.214192956,0.683764043,4.227737786,1.233034276,0.122885398,0.690563824,3.213714232,23.79105048
2019-12-04_WellA1,126.0937402,0.213237788,0.825985283,4.985315542,1.439852366,0.190444833,0.557529619,5.489294788,25.89405251
2019-12-04_WellA3,121.53344,0.214376239,0.884288149,4.988641423,1.205622298,0.095969217,0.524020188,4.748258235,28.7492909
2019-12-04_WellB4,70.4938389,0.229807983,1.35378251,27.5913627,1.866410972,0.30852376,0.029599956,4.075396847,40.02991429
2019-12-10_WellA1,165.5676651,0.240686706,0.786943676,4.127327656,1.216169089,0.134716555,0.718999455,4.341755781,30.76648549
2019-12-10_WellA4,79.76612544,0.260209787,1.333937538,27.24511332,2.238545065,0.400965893,0.063053336,3.442302123,41.67687601
2019-12-10_WellB4,52.95619721,0.223489045,1.338933565,18.52459133,2.271584247,0.413588781,0.053527039,5.120760457,36.16311195
2019-12-10_WellB1,126.6524607,0.212558104,0.741440667,4.081054159,1.243474367,0.120347364,0.699054078,4.271952572,27.40975181
2019-12-12_WellA1,158.455761,0.228173785,0.697892474,3.165577283,1.090064606,0.105677463,0.730299853,3.305099695,34.21815426
2019-12-12_WellA4,94.6341593,0.257840972,1.311440051,27.2415464,2.011489227,0.375022235,0.056330186,4.698529158,41.74087625
2019-12-12_WellB4,10.60963361,0.211189171,1.317794541,19.98094559,2.124507198,0.465431927,0.040873037,3.94198824,39.15688664
2019-12-12_WellB1,138.7272501,0.216419871,0.721497685,2.313302012,1.271501869,0.147765788,0.695656812,3.185365864,28.69776682
2020-01-28_WellA1,141.1976397,0.251625587,0.76672568,5.471050197,1.152068609,0.145995295,0.599969001,5.376829528,24.43431711
2020-01-28_WellA2,23.51403327,0.238709406,1.34923193,25.92463522,1.956738719,0.386304276,0.06343577,3.386793221,37.24389654
2020-01-28_WellB2,7.211883811,0.19280468,1.361205609,17.30159714,2.109175356,0.344921611,0.063070802,5.720276504,34.60545649
2020-01-28_WellB1,171.0159318,0.23301788,0.746059249,4.127660816,1.146345332,0.124156836,0.670039028,36.75763157,22.79819073
2020-02-11_WellA1,75.23664128,0.151488287,1.011920003,1.493310436,1.187139045,0.112187633,0.475300485,4.082985776,24.09273096
2020-02-11_WellA2,68.90279607,0.160977873,0.960077197,2.176603548,1.129562698,0.087493642,0.489426907,5.783621189,28.12243008
2020-02-11_WellA3,32.54736866,0.159216485,1.345550954,10.52985465,1.947881539,0.283460714,0.078218347,5.995900649,34.81920916
2020-02-11_WellA4,28.77560341,0.170316758,1.345776887,11.08568414,2.308980643,0.422468988,0.06600427,6.517646483,33.95576035
2020-02-18_WellA1,143.5224825,0.232764441,0.779160541,5.637490663,1.138182256,0.096687252,0.614755745,6.910824712,28.20798375
2020-02-18_WellA2,179.7560101,0.234371669,0.688966563,4.884279853,1.094161903,0.091913077,0.637313676,3.268698771,25.04675431
2020-02-18_WellA3,30.52803551,0.238487234,1.335260174,24.65236991,1.913580044,0.353233815,0.054949873,4.016418964,39.53392045
2020-02-18_WellA4,47.40486528,0.246762795,1.315855734,26.90275382,1.901328005,0.292399404,0.065582496,3.766822461,39.6562193
