AssayName,dR_um,speed_umPerMin,angularDeviation,positiveFTLE_percent,edgeLength_mm,edgeVariability_mm,corr_dr100um,timeScale_h,lengthScale_um
2019-07-29_WellA1,150.5678611,0.234496226,0.782697429,7.193065813,1.360436587,0.175337846,0.540905304,4.57573096,25.98790757
2019-07-29_WellA2,195.4677187,0.2428633,0.600081258,4.535645567,1.135715426,0.074975382,0.699212528,5.715197253,22.23760828
2019-07-29_WellA3,128.0585822,0.257167326,1.10438596,24.84893396,1.844960765,0.310016539,0.205007797,3.827145765,33.76625226
2019-07-29_WellA4,92.63778791,0.207316164,1.165270677,24.33027195,1.829132217,0.386046784,0.167661186,3.94686279,36.10220889
2019-07-29_WellB4,152.95167,0.189240565,1.179078589,19.23410116,1.873104961,0.364950121,0.195207475,4.618873728,31.34146351
2019-07-29_WellB3,105.7539435,0.193298643,1.237318717,15.75707562,2.040980893,0.321507162,0.123798497,4.250722401,34.54797889
2019-07-29_WellB2,159.7624346,0.205885439,0.653571019,2.991918638,1.226446763,0.146770484,0.706200457,4.304407807,26.51910418
2019-07-29_WellB1,132.0690332,0.198898266,0.835878519,3.936197724,1.350804193,0.193528703,0.549686695,5.063116385,23.71677453
2019-08-07_WellA1,121.840158,0.208615546,0.818962911,2.720953828,1.132394021,0.080483048,0.673107079,6.231566584,21.7660297
2019-08-07_WellA2,165.8671042,0.236080387,0.623368833,3.062709327,1.038112862,0.072834237,0.765775063,5.902376069,23.7309224
2019-08-07_WellA3,72.01076726,0.23772217,1.256474213,20.64062343,1.893848938,0.335345776,0.110047378,3.5711837,33.40816311
2019-08-07_WellA4,82.1686532,0.214196431,1.219638479,22.12350788,1.989738884,0.418898773,0.162246679,3.943356613,34.84764222
2019-08-07_WellB4,87.7893697,0.195461677,1.297992783,19.31595981,2.106997001,0.355940261,0.078596662,3.457990175,33.75900382
2019-08-07_WellB3,34.52978599,0.17822101,1.301342883,12.03919084,1.588888528,0.24367788,0.083329766,4.35634855,31.65686527
2019-08-07_WellB2,159.8723639,0.202747366,0.596264701,2.049295081,1.057433447,0.071275826,0.768560178,10.97991877,22.67977247
2019-08-07_WellB1,173.0781445,0.201695117,0.801389712,2.933359767,1.177846212,0.102502678,0.587878823,6.008276653,19.48782026
2019-08-08_WellA1,78.88115323,0.195946196,0.871588006,4.079431579,1.355817323,0.129541467,0.571765875,5.406828933,24.73653334
2019-08-08_WellA2,176.0670346,0.210379534,0.621339214,3.484439769,1.108448753,0.139070561,0.766156598,5.786506431,28.48290376
2019-08-08_WellA3,64.80082073,0.198911372,1.271944371,19.45551033,1.965299097,0.41177326,0.113313789,4.066225677,33.4598792
2019-08-08_WellA4,110.0178329,0.188730451,1.223104349,20.06206094,1.97089659,0.479491896,0.141937796,4.005686078,35.01018794
2019-08-08_WellB4,53.20666742,0.187879799,1.229647492,16.14892936,2.007075082,0.313322137,0.118134788,4.488769243,32.93286046
2019-08-08_WellB3,79.4994358,0.167244068,1.27892754,12.5862507,1.878742034,0.28114862,0.074439533,3.364314418,30.96826965
2019-08-08_WellB2,153.0522423,0.181995959,0.597703014,2.026956713,1.052396149,0.072845616,0.753404961,6.023603434,25.99495495
2019-08-08_WellB1,125.531794,0.182570333,0.706141961,2.299281267,1.106601574,0.07936611,0.653728618,7.516150698,21.43680223
2019-08-09_WellA1,137.0579511,0.213178382,0.883493599,5.406284025,1.298448623,0.175385659,0.475529235,5.748359608,23.0905307
2019-08-09_WellA2,174.065374,0.237411764,0.637360735,5.164460218,1.112415422,0.083734594,0.746610744,4.555480658,25.95424047
2019-08-09_WellA3,118.1407027,0.212521161,1.239817683,19.98154284,1.927720511,0.406008633,0.107153812,3.828312209,34.66048405
2019-08-09_WellA4,108.2270912,0.227214064,1.221811291,26.14711823,1.99059412,0.41765059,0.142777993,4.209448869,35.99101996
2019-08-09_WellB4,75.50409413,0.175196828,1.250272689,17.50735005,1.805856798,0.304214216,0.107993419,4.152118779,33.77204821
2019-08-09_WellB3,103.1110618,0.172688867,1.236164052,13.820091,1.937781306,0.426429092,0.123579514,4.497908636,34.49278602
2019-08-09_WellB2,128.1344262,0.205218327,0.651565548,2.936338947,1.218268035,0.116012576,0.716016949,4.562285412,26.49934264
2019-08-09_WellB1,109.3994844,0.193688924,0.898467597,4.554281059,1.333789211,0.161349274,0.447344274,3.697780968,24.11875414
2019-08-10_WellA1,111.6422554,0.230429795,0.798280381,5.41436687,1.297058502,0.148120482,0.620414299,4.712306094,23.63193151
2019-08-10_WellA2,196.6324316,0.241400973,0.606860227,4.051215328,1.23932706,0.161930649,0.770178044,4.103564767,25.27803742
2019-08-10_WellA3,97.03040931,0.23291778,1.196064781,20.28557361,1.998164766,0.479176392,0.172705087,5.775603622,30.90448877
2019-08-10_WellA4,85.50132934,0.20450381,1.214391716,22.36585208,1.879166451,0.359832136,0.172034688,2.898907614,31.77274054
2019-08-10_WellB4,107.2174011,0.178694883,1.218214618,15.1126596,1.876830433,0.341932026,0.122984308,3.540480943,30.53844071
2019-08-10_WellB3,124.6096169,0.167459103,1.234968595,13.45253174,1.702297723,0.343369179,0.117688298,4.569655318,35.8139464
2019-08-10_WellB2,176.2003617,0.219013334,0.574955528,2.605993886,1.173829058,0.091684905,0.756737758,4.963380813,23.86932433
2019-08-10_WellB1,158.5191478,0.223501745,0.670087809,5.41177371,1.589638892,0.287620489,0.682728796,4.565516788,25.58353695
2019-08-13_WellA1,138.0481795,0.22524443,0.742855742,3.407935618,1.450529241,0.189405785,0.734681965,3.607184862,24.13593536
2019-08-13_WellA2,165.192736,0.244073444,0.594675853,3.762638312,1.110220571,0.088005587,0.785652478,4.471560214,24.42383285
2019-08-13_WellA3,56.53036025,0.225067757,1.288988742,24.08686933,2.004516727,0.317942547,0.089749323,3.731717629,34.66708535
2019-08-13_WellA4,146.8757007,0.20486485,1.240005877,20.57889581,1.994364803,0.376964556,0.156967828,3.591620684,31.97500483
2019-08-13_WellB4,75.61413111,0.184813325,1.259535876,17.04078518,1.817340427,0.306101879,0.115339359,3.479722689,32.21330768
2019-08-13_WellB3,56.96449008,0.184132604,1.280270832,15.19263532,1.732821332,0.292729193,0.091989486,3.543200755,33.8050583
2019-08-13_WellB2,176.0260401,0.198085902,0.595312842,2.127052171,1.047680786,0.063727827,0.760701606,7.090815945,23.99613943
2019-08-13_WellB1,94.82892242,0.205720703,0.726425276,2.294381064,1.366689884,0.166545101,0.686129923,6.373249529,24.36691865
